Pop share,W(A),W(SN),W(PBC)
0.076142131979696,0,1,0
0.218274111675127,1,0,0
0.101522842639594,0,0,1
0.289340101522843,0.5,0,0.5
0.055837563451777,0,0.5,0.5
0.076142131979696,0.5,0.5,0
0.182741116751269,0.333333333333333,0.333333333333333,0.333333333333333
